year,temp
2120,-0.570688280436
2121,-0.573873520706
2122,-0.577354443119
2123,-0.581131047674
2124,-0.585203334372
2125,-0.589571303213
2126,-0.594234954196
2127,-0.599194287321
2128,-0.604449302589
2129,-0.61
2130,-0.615846379553
2131,-0.621988441249
2132,-0.628426185087
2133,-0.635159611068
2134,-0.642188719192
2135,-0.649513509458
2136,-0.657133981866
2137,-0.665050136417
2138,-0.673261973111
2139,-0.681769491947
2140,-0.690572692926
2141,-0.699671576048
2142,-0.709066141312
2143,-0.718756388718
2144,-0.728742318267
2145,-0.739023929959
2146,-0.749601223793
2147,-0.76047419977
2148,-0.771642857889
2149,-0.783107198151
2150,-0.794867220556
2151,-0.806559817923
2152,-0.817821883076
2153,-0.828653416012
2154,-0.839054416733
2155,-0.849024885239
2156,-0.858564821529
2157,-0.867674225603
2158,-0.876353097461
2159,-0.884601437104
2160,-0.892419244531
2161,-0.899806519743
2162,-0.906763262739
2163,-0.913289473519
2164,-0.919385152084
2165,-0.925050298433
2166,-0.930284912567
2167,-0.935088994485
2168,-0.939462544187
2169,-0.943405561674
2170,-0.946918046945
2171,-0.95
2172,-0.95265142084
2173,-0.954872309464
2174,-0.956662665872
2175,-0.958022490065
2176,-0.958951782042
2177,-0.959450541804
2178,-0.95951876935
2179,-0.95915646468
2180,-0.958363627795
2181,-0.957140258694
2182,-0.955486357378
2183,-0.953401923845
2184,-0.950886958098
2185,-0.947941460134
2186,-0.944565429955
2187,-0.940758867561
2188,-0.93652177295
2189,-0.931854146124
2190,-0.926755987083
2191,-0.921227295826
2192,-0.915282544787
2193,-0.909008568575
2194,-0.902419839623
2195,-0.895516357931
2196,-0.888298123499
2197,-0.880765136328
2198,-0.872917396417
2199,-0.864754903767
2200,-0.856277658377
2201,-0.847485660247
2202,-0.838378909377
2203,-0.828957405768
2204,-0.819221149419
2205,-0.809170140331
2206,-0.798804378502
2207,-0.788123863935
2208,-0.777128596627
2209,-0.76581857658
2210,-0.754193803793
2211,-0.742254278266
2212,-0.73
2213,-0.717430968994
2214,-0.704547185248
2215,-0.691348648763
2216,-0.677835359538
2217,-0.664007317574
2218,-0.649864522869
2219,-0.635406975425
2220,-0.620634675242
2221,-0.605547622319
2222,-0.590145816656
2223,-0.574429258253
